id;social_reason;address;siret_number;phone;email
1;Manat 1080p;bandwidth;solutions Ferry;94017;Adella.Hintz@gmail.com
2;pink Vietnam Credit;solid JSON;Market;85957;Donnie10@hotmail.com
3;Rubber Computer open-source;calculating Kentucky withdrawal;Paraguay regional frictionless;82780;Monty_Yost95@yahoo.com
4;generation enhance;Virginia;Shoes solid;16737;Arturo_Wilkinson78@gmail.com
5;matrix;CSS Tuna;Arkansas Wyoming;49756;Gregg62@gmail.com
6;Rustic;Shoes Small;invoice Maryland Assurance;70966;Charity_Pagac@hotmail.com
7;compressing Reduced Cotton;neural;frame;42029;Jaylen_Block@gmail.com
8;green;Wyoming Direct Business-focused;Lesotho;63493;Maxine_Dickinson25@gmail.com
9;Director;optical synthesizing;synthesizing;59548;Molly_Huel@hotmail.com
10;Avon Fantastic blue;Table transmitter PNG;Bedfordshire white invoice;37060;Micheal.Zboncak@gmail.com
